check,quantity,rule,threshold,declared,status,note
0,independence,"No file under pipeline2/ except s12_ontology.py may read _validation/cl_mapping.csv, work/ext/, or contain a CL: literal outside a comment. Asserted by the stage itself before any scoring.",hard assert,2026-08-14,DECLARED,"THIS IS THE CHECK THAT MAKES THE OTHERS MEAN ANYTHING. files/02 2.1 bans the Cell Ontology INSIDE the pipeline (D-4). Stage 12 is a scoring set, exactly as _validation/hand_mapping_reference.csv already is. If the assert fails, the ontology has leaked into the method and every number in this report is void - not weakened, void. Same role as Stage 10 check 0."
1a,cl_coverage,"share of the 106 Stage 1b labels that resolve to a Cell Ontology term",>= 0.95,2026-08-14,DECLARED,"The existing hand mapping covers 69 of 106 and leaves Phillips and Sorin entirely unmapped. Below 0.95 the test cannot see the clusters the project audit already suspects (22, 23, 24 and most of the junk cluster 2 live in those two cohorts), and a partial mapping would silently choose which clusters get examined."
1b,cl_auto_share,"share of resolved labels obtained by EXACT match of the label or its published expansion against a CL term name or an EXACT synonym, with no human choice",>= 0.50,2026-08-14,DECLARED,"The weak point of this whole stage is that a human picks the CL term. This bar limits how much of the mapping rests on judgement. Every row carries a provenance column (auto_exact / auto_synonym / manual_from_paper / unmappable) so the split is auditable rather than asserted. Missing this bar does NOT fail the gate - it changes the sentence that may be written, from 'resolved against CL' to 'assigned by hand and checked against CL'."
2a,ari_term_perlabel,"adjusted Rand index between the shipped 25 clusters and the partition induced by the exact CL term, over the resolved labels, unweighted",>= 0.40 PASS / 0.20-0.40 PARTIAL / < 0.20 FAIL,2026-08-14,DECLARED,"THE HEADLINE NUMBER. Bars are the conventional reading of ARI and are set before the run, not after. PARTIAL is a real outcome and must be reported as PARTIAL - the project's own precedent is D-46, where a control FAILED and the FAIL was recorded rather than repaired. For scale only, and NOT as a bar: agreement against the project's OWN hand mapping at the same level is 0.596 unweighted (Gate 1b check 1). That is an internal number and passing or missing it decides nothing here."
2b,ari_all_levels,"ARI, NMI, V-measure, homogeneity and completeness at four levels - exact CL term, nearest ancestor in human_reference_atlas, nearest ancestor in cellxgene_subset, nearest ancestor in blood_and_immune_upper_slim + general_cell_types_upper_slim - each unweighted and cell-weighted",report only,2026-08-14,DECLARED,"THE LEVELS ARE CHOSEN BY CELL ONTOLOGY, NOT BY THIS PROJECT. All three coarse levels are published CL subsets. This is deliberate: 'you picked the level that flattered you' is the first objection to any ontology comparison and it is unavailable here. Homogeneity against completeness at each level also says, at no extra cost, whether 25 clusters run too fine or too coarse against a published level."
2c,bootstrap_ci,"a bootstrap 95% interval over labels on every agreement number in check 2",report only,2026-08-14,DECLARED,"H9 is the standing complaint that NOT ONE GATE IN THIS PROJECT HAS EVER BEEN SCORED WITH A CONFIDENCE INTERVAL. Stage 12 is the first. The interval is over labels, so it prices the fact that 106 labels is a small sample - it does NOT price the choice of CL term, which is judgement and cannot be bootstrapped."
2d,report_twice,"every number in check 2 reported twice - all clusters, and excluding the clusters already flagged unreliable (2, 16, 18)",report only,2026-08-14,DECLARED,"D-53's rule, reused. Cluster 2 is a 17-label junk drawer named 'no discriminative shared marker', not a cell type, and it will drag every score down. Quoting only the number that excludes it would be flattery; quoting only the number that includes it would blame the method for a class it already flagged as unreliable. Both, always, and say which is which."
3,permutation_null,"observed ARI must exceed the 99.9th percentile of 1000 label-to-cluster shuffles that preserve cluster sizes, at every level, fixed seed",> p99.9 at all 4 levels,2026-08-14,DECLARED,"WITHOUT THIS THE 0.40 BAR IS DECORATION. A partition with 25 parts against a partition with many parts can score a non-trivial ARI by chance. If the observed value is inside the null, the agreement is not evidence and the report must say exactly that."
4a,cl_same_merged,"share of label pairs CL maps to the SAME term that Stage 1b puts in the same cluster",>= 0.90,2026-08-14,DECLARED,"This is the merging claim, tested from outside. It is the external version of the b_cells / macrophages / cd8_t diagnostics in gate1b_expect.csv, except CL supplies the pairs instead of the author."
4b,cl_parent_child_respected,"share of label pairs CL relates as ancestor-descendant that Stage 1b represents as EITHER a nesting edge OR a same-cluster merge",>= 0.60,2026-08-14,DECLARED,"THE FIRST EVIDENCE OF ANY KIND ABOUT THE NESTING LAYER (H2, files/07 gap 2). All three declared nesting cases at Gate 1b FAILED and Stage 6's descendant-tolerant loss depends on this layer. A same-cluster merge counts as respected because gate1b_expect.csv already rules that a merge is a granularity decision the stability filter is allowed to make. 0.60 is set low on purpose - the internal evidence says this layer is weak and the bar should not be written so that a known-weak layer passes by accident."
4c,cl_distant_merged,"share of label pairs CL places far apart (no common ancestor below 'cell') that Stage 1b puts in the same cluster",<= 0.05,2026-08-14,DECLARED,"THIS IS THE MIS-MERGE RATE AND IT IS DECLARED EXPECTED-TO-FAIL. reports/PROJECT_AUDIT.md B.4 already names cluster 3 (granulocytes + Sorin NK), 21 (Keren NK + dendritic cells), 22 (granulocyte + DC + mast cell) and 20 (epithelium + Keren neutrophils). Declaring the failure before the run is the point: a validation that only reports what passes is not a validation."
5a,marker_coverage_prediction,"clusters 18, 20, 21 and 22 will FAIL the defining-marker coverage check - no published defining marker of their CL-majority cell type is measured in the cohorts contributing to them",all four predicted to FAIL,2026-08-14,DECLARED,"A FALSIFIABLE PREDICTION, WRITTEN BEFORE THE LOOKUP. These are exactly the four clusters whose ferguson labels scored ~0.000 at Gate 7 (GC 0.0016, DC 0.0000, EP 0.0000, EC 0.0039). If the prediction holds, this check PREDICTS transfer failure from published tables alone, with no training and no test data - which turns the audit's 'unflagged mis-merges' finding into a stated scope condition, the way stroma was handled. If it does not hold, the prediction is recorded as wrong and kept in the report."
5b,marker_coverage_table,"for each of the 25 clusters: its CL-majority cell type, that type's published defining markers (Cell Ontology has/lacks_plasma_membrane_part first, CellMarker 2.0 second), and whether at least one is measured by the contributing cohorts per work/marker_registry.csv",report only,2026-08-14,DECLARED,"The table reports/PROJECT_AUDIT.md B.4 asked for, built from published sources instead of judgement. The mechanism it exposes is already diagnosed: EV counts SHARED INFORMATIVE markers but never checks that the marker DEFINING either label is among them. SOURCE NOTE: files/07 H15 names HuBMAP ASCT+B. Its API returned 404/500 on 2026-08-14, so CellMarker 2.0 (Nucleic Acids Research 2023) substitutes. This substitution is stated in the report, not made quietly."
6,l1_many_to_one,"re-score the Gate 1b L1 agreement (0.629) with a many-to-one cluster-to-class mapping instead of the Hungarian one-to-one",report only,2026-08-14,DECLARED,"M6, folded in because it is two lines. Agreement normally RISES as classes get coarser, so 0.629 at L1 against 0.855 at L2 and 0.928 at target is a red flag a reviewer will ask about. Most likely a Hungarian artefact - 25 clusters cannot be matched one-to-one onto 3 classes without leaving 22 unmatched. If it does NOT jump above 0.9 under many-to-one, the clusters genuinely cut across immune/stromal/tumour and that is a problem for the central claim."
7,provenance_frozen,"_validation/cl_mapping.csv is written once, its SHA-256 recorded in the report, and the stage refuses to score if the file changes without the hash being updated",hard assert,2026-08-14,DECLARED,"Stops the mapping from being quietly adjusted after seeing a score. The same discipline as committing gate expectations before a run: the scoring set must be frozen before it is used, or check 2 is scoring the method against a target that moved."
